name,datetime_utc,latitude_deg,longitude_deg,altitude_km
GSAT0206 (GALILEO 10),2025-10-16 21:22:22.045330,-54.33751077240104,165.45996732926645,23242.076902597513
GSAT0206 (GALILEO 10),2025-10-16 21:32:22.045330,-53.32227348935157,169.96025732931807,23241.096053516863
GSAT0206 (GALILEO 10),2025-10-16 21:42:22.045330,-51.91760322070993,174.07563792401982,23239.946420400167
GSAT0206 (GALILEO 10),2025-10-16 21:52:22.045330,-50.16529536140962,177.74273280420925,23238.64242737657
GSAT0206 (GALILEO 10),2025-10-16 22:02:22.045330,-48.109756777186504,-179.06175373628614,23237.201489964362
GSAT0206 (GALILEO 10),2025-10-16 22:12:22.045330,-45.79425023318742,-176.3301869849295,23235.6436941996
GSAT0206 (GALILEO 10),2025-10-16 22:22:22.045330,-43.25855570389592,-174.03450246250156,23233.991418624122
GSAT0206 (GALILEO 10),2025-10-16 22:32:22.045330,-40.53786539921659,-172.1353148157265,23232.26890709879
GSAT0206 (GALILEO 10),2025-10-16 22:42:22.045330,-37.662545218153134,-170.58860328295984,23230.50180149107
GSAT0206 (GALILEO 10),2025-10-16 22:52:22.045330,-34.65840702349281,-169.3500302025254,23228.716644171254
GSAT0206 (GALILEO 10),2025-10-16 23:02:22.045330,-31.547227103563714,-168.3774030570185,23226.94036092019
GSAT0206 (GALILEO 10),2025-10-16 23:12:22.045330,-28.347343639978845,-167.63185585045161,23225.199735285732
GSAT0206 (GALILEO 10),2025-10-16 23:22:22.045330,-25.07424121579423,-167.07822545808696,23223.520885618593
GSAT0206 (GALILEO 10),2025-10-16 23:32:22.045330,-21.741079578353737,-166.68496201009182,23221.928755965222
GSAT0206 (GALILEO 10),2025-10-16 23:42:22.045330,-18.359152543298915,-166.42379365985497,23220.446631697618
GSAT0206 (GALILEO 10),2025-10-16 23:52:22.045330,-14.938278002408211,-166.26927906830863,23219.095690223785
GSAT0206 (GALILEO 10),2025-10-17 00:02:22.045330,-11.487126979324199,-166.1983227975954,23217.894596361366
GSAT0206 (GALILEO 10),2025-10-17 00:12:22.045330,-8.0135022423064,-166.18969222359044,23216.859150984747
GSAT0206 (GALILEO 10),2025-10-17 00:22:22.045330,-4.524577361517847,-166.22355254683671,23216.00200039739
GSAT0206 (GALILEO 10),2025-10-17 00:32:22.045330,-1.0271065533239347,-166.2810236810997,23215.332412557993
GSAT0206 (GALILEO 10),2025-10-17 00:42:22.045330,2.4723851367653547,-166.3437556859654,23214.856124833048
GSAT0206 (GALILEO 10),2025-10-17 00:52:22.045330,5.967422452781977,-166.39351561282098,23214.57526638989
GSAT0206 (GALILEO 10),2025-10-17 01:02:22.045330,9.451402917391317,-166.41177690672023,23214.48835671497
GSAT0206 (GALILEO 10),2025-10-17 01:12:22.045330,12.917413856274251,-166.37930214462077,23214.590380083082
GSAT0206 (GALILEO 10),2025-10-17 01:22:22.045330,16.35803487281625,-166.2757107682657,23214.872934143255
GSAT0206 (GALILEO 10),2025-10-17 01:32:22.045330,19.765116625618862,-166.07902593398572,23215.324449168267
GSAT0206 (GALILEO 10),2025-10-17 01:42:22.045330,23.129525987949496,-165.7651995713706,23215.93047296985
GSAT0206 (GALILEO 10),2025-10-17 01:52:22.045330,26.44084690904841,-165.3076239130228,23216.67401504522
GSAT0206 (GALILEO 10),2025-10-17 02:02:22.045330,29.687026016962783,-164.67665392408455,23217.53594222449
GSAT0206 (GALILEO 10),2025-10-17 02:12:22.045330,32.85395308506063,-163.83919253351362,23218.495416963047
GSAT0206 (GALILEO 10),2025-10-17 02:22:22.045330,35.92497055741563,-162.7584354532105,23219.53036849091
GSAT0206 (GALILEO 10),2025-10-17 02:32:22.045330,38.88031618151676,-161.39394217666862,23220.617986317564
GSAT0206 (GALILEO 10),2025-10-17 02:42:22.045330,41.69652288342069,-159.70230089959864,23221.7352251093
